data points,bubble,selection,quick
5,4.0,10.0,10.0
6,5.0,15.0,15.0
7,6.0,21.0,21.0
8,7.0,28.0,28.0
9,8.0,36.0,36.0
10,9.0,45.0,45.0
11,10.0,55.0,55.0
12,11.0,66.0,66.0
13,12.0,78.0,78.0
14,13.0,91.0,91.0
15,14.0,105.0,105.0
16,15.0,120.0,120.0
17,16.0,136.0,136.0
18,17.0,153.0,153.0
19,18.0,171.0,171.0
20,19.0,190.0,190.0
21,20.0,210.0,210.0
22,21.0,231.0,231.0
23,22.0,253.0,253.0
24,23.0,276.0,276.0
25,24.0,300.0,300.0
26,25.0,325.0,325.0
27,26.0,351.0,351.0
28,27.0,378.0,378.0
29,28.0,406.0,406.0
30,29.0,435.0,435.0
31,30.0,465.0,465.0
32,31.0,496.0,496.0
33,32.0,528.0,528.0
34,33.0,561.0,561.0
35,34.0,595.0,595.0
36,35.0,630.0,630.0
37,36.0,666.0,666.0
38,37.0,703.0,703.0
39,38.0,741.0,741.0
40,39.0,780.0,780.0
41,40.0,820.0,820.0
42,41.0,861.0,861.0
43,42.0,903.0,903.0
44,43.0,946.0,946.0
45,44.0,990.0,990.0
46,45.0,1035.0,1035.0
47,46.0,1081.0,1081.0
48,47.0,1128.0,1128.0
49,48.0,1176.0,1176.0
50,49.0,1225.0,1225.0
51,50.0,1275.0,1275.0
52,51.0,1326.0,1326.0
53,52.0,1378.0,1378.0
54,53.0,1431.0,1431.0
55,54.0,1485.0,1485.0
56,55.0,1540.0,1540.0
57,56.0,1596.0,1596.0
58,57.0,1653.0,1653.0
59,58.0,1711.0,1711.0
60,59.0,1770.0,1770.0
61,60.0,1830.0,1830.0
62,61.0,1891.0,1891.0
63,62.0,1953.0,1953.0
64,63.0,2016.0,2016.0
65,64.0,2080.0,2080.0
66,65.0,2145.0,2145.0
67,66.0,2211.0,2211.0
68,67.0,2278.0,2278.0
69,68.0,2346.0,2346.0
70,69.0,2415.0,2415.0
71,70.0,2485.0,2485.0
72,71.0,2556.0,2556.0
73,72.0,2628.0,2628.0
74,73.0,2701.0,2701.0
75,74.0,2775.0,2775.0
76,75.0,2850.0,2850.0
77,76.0,2926.0,2926.0
78,77.0,3003.0,3003.0
79,78.0,3081.0,3081.0
80,79.0,3160.0,3160.0
81,80.0,3240.0,3240.0
82,81.0,3321.0,3321.0
83,82.0,3403.0,3403.0
84,83.0,3486.0,3486.0
85,84.0,3570.0,3570.0
86,85.0,3655.0,3655.0
87,86.0,3741.0,3741.0
88,87.0,3828.0,3828.0
89,88.0,3916.0,3916.0
90,89.0,4005.0,4005.0
91,90.0,4095.0,4095.0
92,91.0,4186.0,4186.0
93,92.0,4278.0,4278.0
94,93.0,4371.0,4371.0
95,94.0,4465.0,4465.0
96,95.0,4560.0,4560.0
97,96.0,4656.0,4656.0
98,97.0,4753.0,4753.0
99,98.0,4851.0,4851.0
100,99.0,4950.0,4950.0
101,100.0,5050.0,5050.0
102,101.0,5151.0,5151.0
103,102.0,5253.0,5253.0
104,103.0,5356.0,5356.0
105,104.0,5460.0,5460.0
106,105.0,5565.0,5565.0
107,106.0,5671.0,5671.0
108,107.0,5778.0,5778.0
109,108.0,5886.0,5886.0
110,109.0,5995.0,5995.0
111,110.0,6105.0,6105.0
112,111.0,6216.0,6216.0
113,112.0,6328.0,6328.0
